SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount
43659001,676,-1,349,2021-07-02,2021-07-12,2021-07-09,5,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43659002,676,-1,350,2021-07-02,2021-07-12,2021-07-09,5,3,2024.99,6074.98,0.0,1898.09,5694.28,6074.98
43659003,676,-1,351,2021-07-02,2021-07-12,2021-07-09,5,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43659004,676,-1,344,2021-07-02,2021-07-12,2021-07-09,5,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43659005,676,-1,345,2021-07-02,2021-07-12,2021-07-09,5,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43659006,676,-1,346,2021-07-02,2021-07-12,2021-07-09,5,2,2039.99,4079.99,0.0,1912.15,3824.31,4079.99
43659007,676,-1,347,2021-07-02,2021-07-12,2021-07-09,5,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43659008,676,-1,229,2021-07-02,2021-07-12,2021-07-09,5,3,28.84,86.52,0.0,31.72,95.17,86.52
43659009,676,-1,235,2021-07-02,2021-07-12,2021-07-09,5,1,28.84,28.84,0.0,31.72,31.72,28.84
43659010,676,-1,218,2021-07-02,2021-07-12,2021-07-09,5,6,5.7,34.2,0.0,3.4,20.38,34.2
43659011,676,-1,223,2021-07-02,2021-07-12,2021-07-09,5,2,5.19,10.37,0.0,5.71,11.41,10.37
43659012,676,-1,220,2021-07-02,2021-07-12,2021-07-09,5,4,20.19,80.75,0.0,12.03,48.11,80.75
43660001,117,-1,326,2021-07-05,2021-07-15,2021-07-12,5,1,419.46,419.46,0.0,413.15,413.15,419.46
43660002,117,-1,319,2021-07-05,2021-07-15,2021-07-12,5,1,874.79,874.79,0.0,884.71,884.71,874.79
43661001,442,-1,300,2021-07-05,2021-07-15,2021-07-12,6,1,809.76,809.76,0.0,699.09,699.09,809.76
43661002,442,-1,296,2021-07-05,2021-07-15,2021-07-12,6,1,714.7,714.7,0.0,617.03,617.03,714.7
43661003,442,-1,304,2021-07-05,2021-07-15,2021-07-12,6,2,714.7,1429.41,0.0,617.03,1234.06,1429.41
43661004,442,-1,223,2021-07-05,2021-07-15,2021-07-12,6,4,5.19,20.75,0.0,5.71,22.82,20.75
43661005,442,-1,232,2021-07-05,2021-07-15,2021-07-12,6,4,28.84,115.36,0.0,31.72,126.9,115.36
43661006,442,-1,293,2021-07-05,2021-07-15,2021-07-12,6,2,722.59,1445.19,0.0,623.84,1247.68,1445.19
43661007,442,-1,348,2021-07-05,2021-07-15,2021-07-12,6,3,2024.99,6074.98,0.0,1898.09,5694.28,6074.98
43661008,442,-1,351,2021-07-05,2021-07-15,2021-07-12,6,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43661009,442,-1,220,2021-07-05,2021-07-15,2021-07-12,6,2,20.19,40.37,0.0,12.03,24.06,40.37
43661010,442,-1,292,2021-07-05,2021-07-15,2021-07-12,6,2,818.7,1637.4,0.0,706.81,1413.62,1637.4
43661011,442,-1,349,2021-07-05,2021-07-15,2021-07-12,6,4,2024.99,8099.98,0.0,1898.09,7592.38,8099.98
43661012,442,-1,346,2021-07-05,2021-07-15,2021-07-12,6,2,2039.99,4079.99,0.0,1912.15,3824.31,4079.99
43661013,442,-1,235,2021-07-05,2021-07-15,2021-07-12,6,2,28.84,57.68,0.0,31.72,63.45,57.68
43661014,442,-1,350,2021-07-05,2021-07-15,2021-07-12,6,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43661015,442,-1,215,2021-07-05,2021-07-15,2021-07-12,6,5,20.19,100.93,0.0,12.03,60.14,100.93
43662001,227,-1,330,2021-07-07,2021-07-17,2021-07-14,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43662002,227,-1,342,2021-07-07,2021-07-17,2021-07-14,6,5,419.46,2097.29,0.0,413.15,2065.73,2097.29
43662003,227,-1,272,2021-07-07,2021-07-17,2021-07-14,6,2,183.94,367.88,0.0,181.49,362.97,367.88
