"ProductKey","SKU","Product","Standard Cost","Color","List Price","Model","Subcategory","Category"
"0215","HL-U509","Sport-100 Helmet, Black","12","Black","34","Sport-100","Helmets","Accessories"
"0216","HL-U509","Sport-100 Helmet, Black","14","Black","34","Sport-100","Helmets","Accessories"
"0217","HL-U509","Sport-100 Helmet, Black","13","Black","35","Sport-100","Helmets","Accessories"
"0220","HL-U509-B","Sport-100 Helmet, Blue","12","Blue","34","Sport-100","Helmets","Accessories"
"0221","HL-U509-B","Sport-100 Helmet, Blue","14","Blue","34","Sport-100","Helmets","Accessories"
"0222","HL-U509-B","Sport-100 Helmet, Blue","13","Blue","35","Sport-100","Helmets","Accessories"
"0446","PA-T100","Touring-Panniers, Large","52","Grey","125","Touring-Panniers","Panniers","Accessories"
"0480","PK-7098","Patch Kit/8 Patches","01","NA","02","Patch kit","Tires and Tubes","Accessories"
"0529","TT-R982","Road Tire Tube","01","NA","04","Road Tire Tube","Tires and Tubes","Accessories"
"0528","TT-M928","Mountain Tire Tube","02","NA","05","Mountain Tire Tube","Tires and Tubes","Accessories"
"0530","TT-T092","Touring Tire Tube","02","NA","05","Touring Tire Tube","Tires and Tubes","Accessories"
"0477","WB-H098","Water Bottle - 30 oz.","02","NA","05","Water Bottle","Bottles and Cages","Accessories"
"0484","CL-9009","Bike Wash - Dissolver","03","NA","08","Bike Wash","Cleaners","Accessories"
"0479","BC-R205","Road Bottle Cage","03","NA","09","Road Bottle Cage","Bottles and Cages","Accessories"
"0478","BC-M005","Mountain Bottle Cage","04","NA","10","Mountain Bottle Cage","Bottles and Cages","Accessories"
"0450","LT-T990","Taillights - Battery-Powered","06","NA","14","Taillight","Lights","Accessories"
"0448","PU-0452","Minipump","08","NA","20","Minipump","Pumps","Accessories"
"0538","TI-R092","LL Road Tire","08","NA","21","LL Road Tire","Tires and Tubes","Accessories"
"0485","FE-6654","Fender Set - Mountain","08","NA","22","Fender Set - Mountain","Fenders","Accessories"
"0535","TI-M267","LL Mountain Tire","09","NA","25","LL Mountain Tire","Tires and Tubes","Accessories"
"0539","TI-R628","ML Road Tire","09","NA","25","ML Road Tire","Tires and Tubes","Accessories"
"0449","PU-M044","Mountain Pump","10","NA","25","Mountain Pump","Pumps","Accessories"
"0447","LO-C100","Cable Lock","10","NA","25","Cable Lock","Locks","Accessories"
"0541","TI-T723","Touring Tire","11","NA","29","Touring Tire","Tires and Tubes","Accessories"
"0536","TI-M602","ML Mountain Tire","11","NA","30","ML Mountain Tire","Tires and Tubes","Accessories"
"0540","TI-R982","HL Road Tire","12","NA","33","HL Road Tire","Tires and Tubes","Accessories"
"0451","LT-H902","Headlights - Dual-Beam","14","NA","35","Headlights - Dual-Beam","Lights","Accessories"
"0537","TI-M823","HL Mountain Tire","13","NA","35","HL Mountain Tire","Tires and Tubes","Accessories"
"0452","LT-H903","Headlights - Weatherproof","19","NA","45","Headlights - Weatherproof","Lights","Accessories"
"0483","RA-H123","Hitch Rack - 4-Bike","45","NA","120","Hitch Rack - 4-Bike","Bike Racks","Accessories"
"0486","ST-1401","All-Purpose Bike Stand","59","NA","159","All-Purpose Bike Stand","Bike Stands","Accessories"
"0212","HL-U509-R","Sport-100 Helmet, Red","12","Red","34","Sport-100","Helmets","Accessories"
"0213","HL-U509-R","Sport-100 Helmet, Red","14","Red","34","Sport-100","Helmets","Accessories"
"0214","HL-U509-R","Sport-100 Helmet, Red","13","Red","35","Sport-100","Helmets","Accessories"
"0487","HY-1023-70","Hydration Pack - 70 oz.","21","Silver","55","Hydration Pack","Hydration Packs","Accessories"
"0596","BK-M18B-40","Mountain-500 Black, 40","295","Black","540","Mountain-500","Mountain Bikes","Bikes"
"0597","BK-M18B-42","Mountain-500 Black, 42","295","Black","540","Mountain-500","Mountain Bikes","Bikes"
"0598","BK-M18B-44","Mountain-500 Black, 44","295","Black","540","Mountain-500","Mountain Bikes","Bikes"
"0599","BK-M18B-48","Mountain-500 Black, 48","295","Black","540","Mountain-500","Mountain Bikes","Bikes"
"0600","BK-M18B-52","Mountain-500 Black, 52","295","Black","540","Mountain-500","Mountain Bikes","Bikes"
"0604","BK-R19B-44","Road-750 Black, 44","344","Black","540","Road-750","Road Bikes","Bikes"
"0605","BK-R19B-48","Road-750 Black, 48","344","Black","540","Road-750","Road Bikes","Bikes"
"0606","BK-R19B-52","Road-750 Black, 52","344","Black","540","Road-750","Road Bikes","Bikes"
"0584","BK-R19B-58","Road-750 Black, 58","344","Black","540","Road-750","Road Bikes","Bikes"
"0338","BK-R50B-44","Road-650 Black, 44","413","Black","699","Road-650","Road Bikes","Bikes"
"0340","BK-R50B-48","Road-650 Black, 48","413","Black","699","Road-650","Road Bikes","Bikes"
"0342","BK-R50B-52","Road-650 Black, 52","413","Black","699","Road-650","Road Bikes","Bikes"
"0332","BK-R50B-58","Road-650 Black, 58","413","Black","699","Road-650","Road Bikes","Bikes"
"0334","BK-R50B-60","Road-650 Black, 60","413","Black","699","Road-650","Road Bikes","Bikes"
"0336","BK-R50B-62","Road-650 Black, 62","413","Black","699","Road-650","Road Bikes","Bikes"
"0339","BK-R50B-44","Road-650 Black, 44","487","Black","783","Road-650","Road Bikes","Bikes"
"0341","BK-R50B-48","Road-650 Black, 48","487","Black","783","Road-650","Road Bikes","Bikes"
"0343","BK-R50B-52","Road-650 Black, 52","487","Black","783","Road-650","Road Bikes","Bikes"
"0333","BK-R50B-58","Road-650 Black, 58","487","Black","783","Road-650","Road Bikes","Bikes"
"0335","BK-R50B-60","Road-650 Black, 60","487","Black","783","Road-650","Road Bikes","Bikes"
"0337","BK-R50B-62","Road-650 Black, 62","487","Black","783","Road-650","Road Bikes","Bikes"
"0364","BK-M47B-38","Mountain-300 Black, 38","598","Black","1080","Mountain-300","Mountain Bikes","Bikes"
"0365","BK-M47B-40","Mountain-300 Black, 40","598","Black","1080","Mountain-300","Mountain Bikes","Bikes"
"0366","BK-M47B-44","Mountain-300 Black, 44","598","Black","1080","Mountain-300","Mountain Bikes","Bikes"
"0367","BK-M47B-48","Mountain-300 Black, 48","598","Black","1080","Mountain-300","Mountain Bikes","Bikes"
"0358","BK-M68B-38","Mountain-200 Black, 38","1106","Black","2049","Mountain-200","Mountain Bikes","Bikes"
"0360","BK-M68B-42","Mountain-200 Black, 42","1106","Black","2049","Mountain-200","Mountain Bikes","Bikes"
"0362","BK-M68B-46","Mountain-200 Black, 46","1106","Black","2049","Mountain-200","Mountain Bikes","Bikes"
"0373","BK-R89B-44","Road-250 Black, 44","1321","Black","2182","Road-250","Road Bikes","Bikes"
"0375","BK-R89B-48","Road-250 Black, 48","1321","Black","2182","Road-250","Road Bikes","Bikes"
"0377","BK-R89B-52","Road-250 Black, 52","1321","Black","2182","Road-250","Road Bikes","Bikes"
"0379","BK-R89B-58","Road-250 Black, 58","1321","Black","2182","Road-250","Road Bikes","Bikes"
"0359","BK-M68B-38","Mountain-200 Black, 38","1252","Black","2295","Mountain-200","Mountain Bikes","Bikes"
"0361","BK-M68B-42","Mountain-200 Black, 42","1252","Black","2295","Mountain-200","Mountain Bikes","Bikes"
"0363","BK-M68B-46","Mountain-200 Black, 46","1252","Black","2295","Mountain-200","Mountain Bikes","Bikes"
"0374","BK-R89B-44","Road-250 Black, 44","1555","Black","2443","Road-250","Road Bikes","Bikes"
"0376","BK-R89B-48","Road-250 Black, 48","1555","Black","2443","Road-250","Road Bikes","Bikes"
"0378","BK-R89B-52","Road-250 Black, 52","1555","Black","2443","Road-250","Road Bikes","Bikes"
"0380","BK-R89B-58","Road-250 Black, 58","1555","Black","2443","Road-250","Road Bikes","Bikes"
"0348","BK-M82B-38","Mountain-100 Black, 38","1898","Black","3375","Mountain-100","Mountain Bikes","Bikes"
"0349","BK-M82B-42","Mountain-100 Black, 42","1898","Black","3375","Mountain-100","Mountain Bikes","Bikes"
"0350","BK-M82B-44","Mountain-100 Black, 44","1898","Black","3375","Mountain-100","Mountain Bikes","Bikes"
"0351","BK-M82B-48","Mountain-100 Black, 48","1898","Black","3375","Mountain-100","Mountain Bikes","Bikes"
"0585","BK-T18U-44","Touring-3000 Blue, 44","461","Blue","742","Touring-3000","Touring Bikes","Bikes"
"0586","BK-T18U-50","Touring-3000 Blue, 50","461","Blue","742","Touring-3000","Touring Bikes","Bikes"
"0565","BK-T18U-54","Touring-3000 Blue, 54","461","Blue","742","Touring-3000","Touring Bikes","Bikes"
